"id";"name";"description";"img"
"CEL";"Celadon City";"A city located in central Kanto. It is the most populous city in Kanto and the eighth most populous in the a Saffron City in the east.";"https://cdn.wikimg.net/en/strategywiki/images/thumb/2/29/Pokemon_FRLG_CeladonCity.png/770px-Pokemon_FRLG_CeladonCity.png"
"CER";"Cerulean City";"A seaside city located in northern Kanto. It is situated near a sea inlet to the north, with Saffron City to the south, and Mt. Moona to the west. It is home to a Misty, the Cerulean City Gym Leader.";"https://www.serebii.net/pokearth/maps/kanto-frlg/32.png"
"CIN";"Cinnabar Island";"A large island located off the southern coast of the Kanto region, south of Pallet Town. It is home to a large volcano. Blaine was once the resident Gym Leader specializing in Fire-type Pokemon";"https://cdn.wikimg.net/en/strategywiki/images/thumb/4/49/Pok%C3%A9mon.FRLG.CinnabarIsland.png/760px-Pok%C3%A9mon.FRLG.CinnabarIsland.png"
"FUC";"Fuchsia City";"A city located in southwest Kanto. Its most distinguishing features are the Safari Zone and the Poison-type Gym. Koga is the Fuchsia City Gym Leader";"https://cdn.wikimg.net/en/strategywiki/images/1/19/Pokemon_FRLG_FuchsiaCity.png"
"IND";"Indigo Plataeu";"Serves as the capital for the Pokemon League in the Kanto region. It is the final destination for Pokemon Trainers collecting Indigo or Johto League Badges. This is where the Trainers who have defeated all of the eight Gym Leaders of either Kanto or Johto battle against the Elite Four and the Pokemon Champion";"https://pm1.narvii.com/5888/478f878358a6901670cf9636c05b21896299662a_hq.jpg"
"PAL";"Pallet Town";"A small town located in southwestern Kanto. It is the hometown of the player and their rival in the Kanto-based games. In other games, it is specifically the hometown of Red and Blue.";"https://www.serebii.net/pokearth/maps/kanto-frlg/29.png"
"PEW";"Pewter City";"A city located in northwestern Kanto. The most notable resident of the city is Brock, a Rock-type expert and the Leader of the Pewter Gym";"https://cdn.wikimg.net/en/strategywiki/images/thumb/c/c9/Pokemon_FRLG_PewterCity.png/531px-Pokemon_FRLG_PewterCity.png"
"SAF";"Saffron City";"A sprawling metropolis in the Kanto region. It lies in between Celadon City, Vermilion City, Lavender Town, and Cerulean City. It is home to Sabrina, the city's Gym Leader.";"https://cdn.wikimg.net/en/strategywiki/images/thumb/3/38/Pokemon_FRLG_SaffronCity.png/531px-Pokemon_FRLG_SaffronCity.png"
"VER";"Vermillion City";"A city situated near a sea inlet to the south, it serves as a popular sea port for ships such as the S.S. Anne. Vermilion Harbor is a home port for many ships. The S.S. Anne sails around the world and returns to Vermilion once a year. ";"https://cdn.wikimg.net/en/strategywiki/images/2/24/Pokemon_FRLG_VermilionCity.png"
"VIR";"Viridian City";"A small city located in western Kanto. It is home to the Viridian Gym, which can only be challenged by the player once they have obtained the Badges of the seven other Gyms of Kanto.";"https://cdn.wikimg.net/en/strategywiki/images/3/32/Pokemon_FRLG_ViridianCity.png"
